"","Language","Type","Model","Surp"
"1","Afrikaans","manual_output_funchead_langmod_coarse_best_balanced","852052707",6.33571404442445
"2","Ancient_Greek","manual_output_funchead_langmod_coarse_best_balanced","1878067553",7.16193798669416
"3","Arabic","manual_output_funchead_langmod_coarse_best_balanced","4398950641",6.91635992750274
"4","Basque","manual_output_funchead_langmod_coarse_best_balanced","2775660060",8.17300697690641
"5","Belarusian","manual_output_funchead_langmod_coarse_best_balanced","6681396101",8.86769916837579
"6","Bulgarian","manual_output_funchead_langmod_coarse_best_balanced","1034053658",7.27370362861329
"7","Catalan","manual_output_funchead_langmod_coarse_best_balanced","8978861646",5.85556305647414
"8","Chinese","manual_output_funchead_langmod_coarse_best_balanced","9211633685",7.71392102797607
"9","Coptic","manual_output_funchead_langmod_coarse_best_balanced","8542725903",4.77412737376317
"10","Croatian","manual_output_funchead_langmod_coarse_best_balanced","9170449058",7.77769064609872
"11","Czech","manual_output_funchead_langmod_coarse_best_balanced","8174370200",6.86061178665398
"12","Danish","manual_output_funchead_langmod_coarse_best_balanced","2862952304",7.11913835223528
"13","Dutch","manual_output_funchead_langmod_coarse_best_balanced","3295010960",6.73686753201327
"14","English","manual_output_funchead_langmod_coarse_best_balanced","9521003471",6.49004365600476
"15","Estonian","manual_output_funchead_langmod_coarse_best_balanced","208121164",8.33772004184767
"16","Finnish","manual_output_funchead_langmod_coarse_best_balanced","944103956",7.89015772942208
"17","French","manual_output_funchead_langmod_coarse_best_balanced","8083539524",5.69358696895093
"18","Galician","manual_output_funchead_langmod_coarse_best_balanced","5829637116",6.11849354601801
"19","German","manual_output_funchead_langmod_coarse_best_balanced","2678929526",7.04460710804171
"20","Gothic","manual_output_funchead_langmod_coarse_best_balanced","7907315126",6.77562232983881
"21","Greek","manual_output_funchead_langmod_coarse_best_balanced","7558825885",7.00460399607176
"22","Hebrew","manual_output_funchead_langmod_coarse_best_balanced","2403537206",6.61673831262453
"23","Hindi","manual_output_funchead_langmod_coarse_best_balanced","5208902332",5.63487424042997
"24","Hungarian","manual_output_funchead_langmod_coarse_best_balanced","6523716726",8.4943803226742
"25","Indonesian","manual_output_funchead_langmod_coarse_best_balanced","4664742886",7.78781154454639
"26","Irish","manual_output_funchead_langmod_coarse_best_balanced","1580489262",7.86700374590499
"27","Italian","manual_output_funchead_langmod_coarse_best_balanced","2594725024",6.38494793396394
"28","Japanese","manual_output_funchead_langmod_coarse_best_balanced","189216316",6.27685820858984
"29","Korean","manual_output_funchead_langmod_coarse_best_balanced","9614101303",7.56900688352484
"30","Latin","manual_output_funchead_langmod_coarse_best_balanced","5893160314",7.59268625311625
"31","Latvian","manual_output_funchead_langmod_coarse_best_balanced","9859590518",8.54742759958999
"32","Lithuanian","manual_output_funchead_langmod_coarse_best_balanced","4794511304",9.13715648997075
"33","Marathi","manual_output_funchead_langmod_coarse_best_balanced","4315863726",7.15909753975115
"34","Norwegian","manual_output_funchead_langmod_coarse_best_balanced","8465037986",6.71761113363597
"35","Old_Church_Slavonic","manual_output_funchead_langmod_coarse_best_balanced","9724758322",6.74781359737186
"36","Persian","manual_output_funchead_langmod_coarse_best_balanced","5256241782",6.87064581663294
"37","Polish","manual_output_funchead_langmod_coarse_best_balanced","4349938573",8.11108597391192
"38","Portuguese","manual_output_funchead_langmod_coarse_best_balanced","8015625621",6.03219518192429
"39","Romanian","manual_output_funchead_langmod_coarse_best_balanced","2185023806",7.09886947486622
"40","Russian","manual_output_funchead_langmod_coarse_best_balanced","4052951187",7.1881791452513
"41","Serbian","manual_output_funchead_langmod_coarse_best_balanced","7403297293",7.64384276393787
"42","Slovak","manual_output_funchead_langmod_coarse_best_balanced","693888951",8.87017348196765
"43","Slovenian","manual_output_funchead_langmod_coarse_best_balanced","9638263698",7.21425665940385
"44","Spanish","manual_output_funchead_langmod_coarse_best_balanced","4047513575",6.05327317209393
"45","Swedish","manual_output_funchead_langmod_coarse_best_balanced","2486520636",6.83087715772641
"46","Tamil","manual_output_funchead_langmod_coarse_best_balanced","3234472513",8.92237237101164
"47","Telugu","manual_output_funchead_langmod_coarse_best_balanced","8250608376",7.72888519879684
"48","Turkish","manual_output_funchead_langmod_coarse_best_balanced","8884411876",8.96304702688207
"49","Ukrainian","manual_output_funchead_langmod_coarse_best_balanced","8881679248",8.6858220574289
"50","Urdu","manual_output_funchead_langmod_coarse_best_balanced","2105939435",5.92323721350424
"51","Vietnamese","manual_output_funchead_langmod_coarse_best_balanced","8617334717",7.52084551289758
