dependency	satisfiedFraction	posteriorMean	posteriorSD	num_langs	posteriorOpposite
acl	0.795918367346939	11.6474455320684	13.1208347427942	51	0.129375
advcl	0.857142857142857	28.2281174804248	20.4454910615389	51	0.00775
advmod	0.352941176470588	53.0737801968396	60.8616166964366	51	0.009375
amod	0.509803921568627	8.18087425239372	11.7698312429405	51	0.175875
appos	0.765957446808511	-65.2020007128793	138.29458988231	51	0.80675
aux	0.122448979591837	-21.1569918815171	13.5549586371097	51	0.994375
ccomp	0.857142857142857	59.5798275929153	85.3031544023452	51	0.025375
compound	0.659090909090909	5.43973448333868	7.28666755604374	51	0.150875
conj	0.72	-42.6126797664045	97.2924837334669	51	0.775625
csubj	0.787234042553192	7.36698285149373	6.76241073250033	51	0.06325
dep	0.564102564102564	-4.54607066764287	9.3023024878485	51	0.737
det	0.313725490196078	12.8623268945501	14.4895881115861	51	0.139
discourse	0.243243243243243	-1.372738273713	13.9170574263504	51	0.572625
dislocated	0.473684210526316	4.32093639579619	11.4395842591784	51	0.338125
expl	0.125	126.978993964809	145.273059154656	51	0.042
fixed	0.780487804878049	-10.2812888993213	15.3565644499085	51	0.755125
flat	0.733333333333333	-58.3871639528813	77.3786512326363	51	0.976375
goeswith	0.611111111111111	-97.7998166543918	107.617687152409	51	0.968875
iobj	0.739130434782609	12.3736312537844	11.8022951758709	51	0.06525
lifted_case	0.862745098039216	40.392835023707	30.5951114108142	51	0.006375
lifted_cc	0.705882352941177	-3.88636441382648	7.36398976938511	51	0.65825
lifted_cop	0.9375	42.7155795888069	28.3099845990562	51	0
lifted_mark	0.764705882352941	12.0626021214962	16.1966662539066	51	0.1825
list	0.941176470588235	30.8532511201324	37.795738659387	51	0.11525
nmod	0.803921568627451	42.4549079363281	49.05935863912	51	0.026875
nsubj	0.333333333333333	51.4233080015086	76.9425124116907	51	0.01875
nummod	0.372549019607843	45.9356806897561	43.8435055312712	51	0.00175
obl	0.882352941176471	19.2979869813758	12.6666658839334	51	0.001875
orphan	0.823529411764706	3.986994898968	16.4847457145261	51	0.35775
parataxis	0.659090909090909	-60.9411309263516	70.7778300616783	51	0.9945
reparandum	0.181818181818182	-5715524536926.93	9488719817760.79	51	0.6775
vocative	0.459459459459459	16.8139869302568	14.8820522116179	51	0.0215
xcomp	0.877551020408163	16.2069112739397	16.6029881981225	51	0.0735
