dependency	satisfiedFraction	posteriorMean	posteriorSD	posteriorOpposite
acl	0.434782608695652	-0.617113413252818	0.560770666189532	0.881625
advcl	0.513513513513513	-1.15724315299608	0.983518864305648	0.915
advmod	0.177644710578842	-5.54269672215506	1.02105629104251	1
amod	0.419161676646707	-0.709738634163999	0.519018677069474	0.91775
appos	0.491189427312775	0.198378135847356	0.422370065621742	0.319125
aux	0.192546583850932	-9.68718346223447	2.65910394871657	0.999875
ccomp	0.69601677148847	3.26029674406295	1.20130777969687	0.00525
compound	0.475750577367206	-0.394874045973851	0.638206554282011	0.741125
conj	0.415637860082305	-1.01312855655732	0.377795112677451	0.99475
csubj	0.603485838779956	0.759228624520087	0.494603046451302	0.0605
dep	0.519280205655527	-0.0244777754631672	0.429071393966692	0.492
det	0.560878243512974	1.03968454528235	0.484856444994783	0.02125
discourse	0.412607449856734	-1.21572820134365	0.616623793264414	0.978125
dislocated	0.676923076923077	2.01275843450755	0.842718042018684	0.0045
expl	0.618257261410788	1.30207738855179	1.87580004108471	0.209625
fixed	0.451612903225806	-0.622834903089534	0.425766168106715	0.9335
flat	0.448512585812357	-0.0775837624968373	0.340218540544067	0.603375
goeswith	0.43956043956044	-0.740101241116189	0.527509636340303	0.933125
iobj	0.776053215077605	3.94299133439419	0.944266448391528	0
lifted_case	0.403193612774451	-1.34812116141682	0.614152151797757	0.992
lifted_cc	0.510978043912176	-0.288422610521433	0.429254801447971	0.764625
lifted_cop	0.586134453781513	2.38424037070746	2.62946794342087	0.136375
lifted_mark	0.568862275449102	1.47055451537128	0.791563869809706	0.029875
list	0.50314465408805	-0.291429741161597	0.530530912336969	0.72675
nmod	0.489021956087824	-0.0944147804781919	0.403757295919134	0.59875
nsubj	0.528942115768463	1.00912574443407	1.23713040687075	0.199
nummod	0.487025948103792	0.322396872020267	0.339260210443493	0.162
obl	0.712574850299401	4.61044174096995	1.36569308299478	0.000375
orphan	0.496969696969697	0.0226471600994576	0.375509383466995	0.47275
parataxis	0.429245283018868	-0.828448368196998	0.547617673443375	0.9445
reparandum	0.570175438596491	0.144708020598419	0.922099734289025	0.401
vocative	0.586402266288952	0.74895174555571	0.528448692434864	0.07075
xcomp	0.756302521008403	5.0709766507869	1.51970693832773	0

