Language	Model	Type	Surp
English	37277	manual_output_funchead_RANDOM	6.689260299304775
English	5953198	manual_output_funchead_RANDOM	6.7766173657593
English	2847244	manual_output_funchead_RANDOM	6.750189031279154
English	4147103	manual_output_funchead_RANDOM	6.773162774008009
English	2138590	manual_output_funchead_RANDOM	6.7913350205992264
English	6285151	manual_output_funchead_RANDOM	6.795723912495616
English	750969	manual_output_funchead_RANDOM	6.762045839936986
English	3848887	manual_output_funchead_RANDOM	6.75288273492002
English	591473	manual_output_funchead_RANDOM	6.763387198381381
English	5674604	manual_output_funchead_RANDOM	6.783179844311395
English	8182900	manual_output_funchead_RANDOM2	6.954157629077209
English	7164858	manual_output_funchead_RANDOM2	6.8223084309560145
English	2231352	manual_output_funchead_RANDOM2	6.768893870213491
English	4201172	manual_output_funchead_RANDOM2	6.809274156689373
English	3066274	manual_output_funchead_RANDOM2	6.766967564982516
English	9127542	manual_output_funchead_RANDOM2	6.821418034362966
English	2086490	manual_output_funchead_RANDOM2	6.761745357407319
English	2459955	manual_output_funchead_RANDOM2	6.792642480064727
English	9323106	manual_output_funchead_RANDOM2	6.796254845410216
English	4579979	manual_output_funchead_RANDOM2	6.727994974325226
English	6355946	manual_output_funchead_RANDOM2	6.724325894405115
English	1910170	manual_output_funchead_RANDOM3	6.769701225095747
English	303555	manual_output_funchead_RANDOM3	6.802550063969809
English	6498835	manual_output_funchead_RANDOM3	6.7523715159892195
English	5563867	manual_output_funchead_RANDOM3	6.733131289536376
English	5973449	manual_output_funchead_RANDOM3	6.74679730378978
English	104693	manual_output_funchead_RANDOM3	6.80148613357052
English	319226	manual_output_funchead_RANDOM3	6.752359093794034
English	8464595	manual_output_funchead_RANDOM3	6.804311765860228
English	4850099	manual_output_funchead_RANDOM3	6.772683431857069
English	2596210	manual_output_funchead_RANDOM3	6.777403298093764
English	1520263	manual_output_funchead_RANDOM3	6.694025384007013
English	481818	manual_output_funchead_RANDOM4	6.768679647991173
English	9429690	manual_output_funchead_RANDOM4	6.744449667688724
English	4553486	manual_output_funchead_RANDOM4	6.777522213510984
English	5257886	manual_output_funchead_RANDOM4	6.77697679175717
English	6794333	manual_output_funchead_RANDOM4	6.751474188677923
English	5595592	manual_output_funchead_RANDOM4	6.786754068459906
English	1641200	manual_output_funchead_RANDOM4	6.760295463345068
English	8902782	manual_output_funchead_RANDOM4	6.9378925666626765
English	929677	manual_output_funchead_RANDOM4	6.7704812814184585
English	9806547	manual_output_funchead_RANDOM4	6.753064894937863
English	6319342	manual_output_funchead_RANDOM4	6.802404878522089
English	9596253	manual_output_funchead_RANDOM5	6.716341193321713
English	1185683	manual_output_funchead_RANDOM5	6.762134220991644
English	5417255	manual_output_funchead_RANDOM5	6.751308831749933
English	4820775	manual_output_funchead_RANDOM5	6.77206684005331
English	2072554	manual_output_funchead_RANDOM5	6.764840089598972
English	9172338	manual_output_funchead_RANDOM5	6.794367808103863
English	8031440	manual_output_funchead_RANDOM5	6.728787083826676
English	8704372	manual_output_funchead_RANDOM5	6.744116174344534
English	7114895	manual_output_funchead_RANDOM5	6.647861002609665
English	4936690	manual_output_funchead_RANDOM5	6.772874201941139
English	3330996	manual_output_funchead_RANDOM5	6.747844927168541
