Language	Model	Type	Surp
Gothic	2669641	manual_output_funchead_RANDOM_pureUD	6.863693561009865
Russian	3914933	manual_output_funchead_RANDOM_pureUD	7.3968674905422445
Old_Church_Slavonic	1501082	manual_output_funchead_RANDOM_pureUD	6.8599325405205756
Hebrew	9762060	manual_output_funchead_RANDOM_pureUD	6.861603735924529
Basque	6502673	manual_output_funchead_RANDOM_pureUD	8.386510203682608
Japanese	7834297	manual_output_funchead_RANDOM_pureUD	6.417711881819077
Ancient_Greek	3359093	manual_output_funchead_RANDOM_pureUD	7.428685371747316
Hebrew	6737986	manual_output_funchead_RANDOM_pureUD	6.707785239439066
Dutch	9060101	manual_output_funchead_RANDOM_pureUD	6.946045677582444
Norwegian	5696395	manual_output_funchead_RANDOM_pureUD	6.9767373135899815
Coptic	148806	manual_output_funchead_RANDOM_pureUD	5.11941285689391
English	8391950	manual_output_funchead_RANDOM_pureUD	6.65459360511086
Gothic	8490370	manual_output_funchead_RANDOM_pureUD	6.857902679129158
Slovak	5789880	manual_output_funchead_RANDOM_pureUD	9.020840752163982
Slovak	1482133	manual_output_funchead_RANDOM_pureUD	9.150438215095374
Greek	3234498	manual_output_funchead_RANDOM_pureUD	7.203304259260627
Urdu	3948800	manual_output_funchead_RANDOM_pureUD	6.16868623123009
Hindi	833561	manual_output_funchead_RANDOM_pureUD	6.002987341383612
Korean	9770934	manual_output_funchead_RANDOM_pureUD	7.806414029439368
Russian	9736982	manual_output_funchead_RANDOM_pureUD	7.38293634388769
Norwegian	2386618	manual_output_funchead_RANDOM_pureUD	6.89088350399095
Lithuanian	8265421	manual_output_funchead_RANDOM_pureUD	9.193413754625903
Italian	3070846	manual_output_funchead_RANDOM_pureUD	6.612186857262486
Serbian	566301	manual_output_funchead_RANDOM_pureUD	7.7163036637851246
Lithuanian	8317783	manual_output_funchead_RANDOM_pureUD	9.252958055604925
Ancient_Greek	2580331	manual_output_funchead_RANDOM_pureUD	7.353932136861665
Ancient_Greek	5057729	manual_output_funchead_RANDOM_pureUD	7.367250109972766
Old_Church_Slavonic	616496	manual_output_funchead_RANDOM_pureUD	6.79698367588516
Dutch	7617497	manual_output_funchead_RANDOM_pureUD	6.860585691274893
Arabic	7987842	manual_output_funchead_RANDOM_pureUD	7.165380598568865
Japanese	7481395	manual_output_funchead_RANDOM_pureUD	6.365702537720462
Galician	846004	manual_output_funchead_RANDOM_pureUD	6.322703633937237
Tamil	5339862	manual_output_funchead_RANDOM_pureUD	9.15670839149325
Russian	9764351	manual_output_funchead_RANDOM_pureUD	7.43382673666345
Finnish	5447549	manual_output_funchead_RANDOM_pureUD	8.094310979196441
Hungarian	4690160	manual_output_funchead_RANDOM_pureUD	8.548363575365956
Afrikaans	9532084	manual_output_funchead_RANDOM_pureUD	6.489975906329485
Japanese	3863247	manual_output_funchead_RANDOM_pureUD	6.505572389299569
Catalan	6600326	manual_output_funchead_RANDOM_pureUD	6.191060018710527
Polish	6822114	manual_output_funchead_RANDOM_pureUD	8.311430832922236
Tamil	492512	manual_output_funchead_RANDOM_pureUD	9.041275201841842
Ukrainian	2218966	manual_output_funchead_RANDOM_pureUD	8.998516572969024
Korean	9221262	manual_output_funchead_RANDOM_pureUD	7.744109854564056
Serbian	134057	manual_output_funchead_RANDOM_pureUD	7.693609006047126
Chinese	1325109	manual_output_funchead_RANDOM_pureUD	7.72678903767119
Korean	9213841	manual_output_funchead_RANDOM_pureUD	7.746255142857308
Japanese	2504105	manual_output_funchead_RANDOM_pureUD	6.389690204965817
Korean	4190906	manual_output_funchead_RANDOM_pureUD	7.76437855465097
Telugu	7950046	manual_output_funchead_RANDOM_pureUD	7.878311939017717
Coptic	9928077	manual_output_funchead_RANDOM_pureUD	5.234352364325918
Coptic	2416038	manual_output_funchead_RANDOM_pureUD	5.059497035953795
Finnish	14559	manual_output_funchead_RANDOM_pureUD	8.04244169528577
Tamil	3885441	manual_output_funchead_RANDOM_pureUD	9.027600305451477
Finnish	3759522	manual_output_funchead_RANDOM_pureUD	8.050764141387075
Finnish	7534525	manual_output_funchead_RANDOM_pureUD	8.01427421343928
Spanish	7697951	manual_output_funchead_RANDOM_pureUD	6.246789823008605
Portuguese	3874889	manual_output_funchead_RANDOM_pureUD	6.287820181022366
Croatian	3804950	manual_output_funchead_RANDOM_pureUD	7.982364474154046
Coptic	303223	manual_output_funchead_RANDOM_pureUD	5.512352092636711
German	4683082	manual_output_funchead_RANDOM_pureUD	7.226541749789813
Latin	4849318	manual_output_funchead_RANDOM_pureUD	7.709232995755486
Slovak	3073477	manual_output_funchead_RANDOM_pureUD	9.044042840369043
Hindi	3814752	manual_output_funchead_RANDOM_pureUD	5.844307036982945
Tamil	107407	manual_output_funchead_RANDOM_pureUD	9.351156971748912
Belarusian	7787000	manual_output_funchead_RANDOM_pureUD	8.966357964919624
Portuguese	4993618	manual_output_funchead_RANDOM_pureUD	6.3433836432400375
Coptic	4321256	manual_output_funchead_RANDOM_pureUD	5.150437347150581
Finnish	1716372	manual_output_funchead_RANDOM_pureUD	8.102623935537517
Basque	6819555	manual_output_funchead_RANDOM_pureUD	8.418084095313988
Dutch	1628568	manual_output_funchead_RANDOM_pureUD	6.975042660563502
French	3797400	manual_output_funchead_RANDOM_pureUD	5.768771446848343
Galician	4190462	manual_output_funchead_RANDOM_pureUD	6.392430691941494
Tamil	6349855	manual_output_funchead_RANDOM_pureUD	9.030765919011479
Estonian	4225174	manual_output_funchead_RANDOM_pureUD	8.462173432547436
Ukrainian	4614456	manual_output_funchead_RANDOM_pureUD	8.956961104943515
Italian	6874641	manual_output_funchead_RANDOM_pureUD	6.482654193960996
Gothic	9791210	manual_output_funchead_RANDOM_pureUD	6.89819041010145
Romanian	2770587	manual_output_funchead_RANDOM_pureUD	7.47381450778529
Ukrainian	8708650	manual_output_funchead_RANDOM_pureUD	8.904231403968495
Czech	5689108	manual_output_funchead_RANDOM_pureUD	7.178551105337411
Norwegian	9565867	manual_output_funchead_RANDOM_pureUD	6.90875710590064
Polish	1541836	manual_output_funchead_RANDOM_pureUD	8.268444402371639
Finnish	7333777	manual_output_funchead_RANDOM_pureUD	8.08482129017146
Serbian	1074695	manual_output_funchead_RANDOM_pureUD	7.755133266473038
Hindi	6063444	manual_output_funchead_RANDOM_pureUD	6.034248163772232
Romanian	3007062	manual_output_funchead_RANDOM_pureUD	7.30158586801908
Hindi	9195087	manual_output_funchead_RANDOM_pureUD	5.840389194469835
