Language	Model	Type	Surp
Serbian	6540054	manual_output_funchead_RANDOM	7.963901146418329
Portuguese	6231403	manual_output_funchead_RANDOM	6.389102584396375
Norwegian	1583012	manual_output_funchead_RANDOM	7.083017306197794
Indonesian	1550386	manual_output_funchead_RANDOM	7.9834063537468865
Ancient_Greek	6207048	manual_output_funchead_RANDOM	7.585820659885732
Ancient_Greek	6909776	manual_output_funchead_RANDOM	7.557053386173891
Latin	1101535	manual_output_funchead_RANDOM	7.842266306646683
Hebrew	9010571	manual_output_funchead_RANDOM	6.930520790030096
Basque	1798476	manual_output_funchead_RANDOM	8.622081789801944
Gothic	4165603	manual_output_funchead_RANDOM	7.23610294959693
Catalan	650252	manual_output_funchead_RANDOM	6.322248910207843
Italian	8560492	manual_output_funchead_RANDOM	6.770650420050867
Latvian	6872334	manual_output_funchead_RANDOM	8.964045934913367
Arabic	8932075	manual_output_funchead_RANDOM	7.045377253346279
Gothic	3566582	manual_output_funchead_RANDOM	7.028556946651014
Arabic	1046153	manual_output_funchead_RANDOM	7.2963950521913015
Ancient_Greek	3647766	manual_output_funchead_RANDOM	7.592835207685515
Marathi	6035819	manual_output_funchead_RANDOM	7.452848777124437
Persian	2599790	manual_output_funchead_RANDOM	7.235462018706527
Polish	4813059	manual_output_funchead_RANDOM	8.795149174147138
Telugu	240743	manual_output_funchead_RANDOM	8.138976615448293
Galician	880883	manual_output_funchead_RANDOM	6.505510303203732
Afrikaans	986758	manual_output_funchead_RANDOM	7.0040716613285126
Irish	2500188	manual_output_funchead_RANDOM	8.237836371706809
Estonian	9496546	manual_output_funchead_RANDOM	8.699799962785313
Portuguese	2593069	manual_output_funchead_RANDOM	6.32822670689551
Serbian	6275325	manual_output_funchead_RANDOM	7.950645085076514
Latvian	4071286	manual_output_funchead_RANDOM	8.964195327644608
Polish	7814312	manual_output_funchead_RANDOM	8.830429840188607
Chinese	9941860	manual_output_funchead_RANDOM	8.086302142673068
Belarusian	9855562	manual_output_funchead_RANDOM	9.127089086629576
Swedish	8596854	manual_output_funchead_RANDOM	7.386333976431083
German	3332467	manual_output_funchead_RANDOM	7.512711225126808
Afrikaans	5858407	manual_output_funchead_RANDOM	6.8453857341488655
Bulgarian	9053822	manual_output_funchead_RANDOM	7.8717503927474795
Bulgarian	6159828	manual_output_funchead_RANDOM	7.909184281072827
Indonesian	4347028	manual_output_funchead_RANDOM	8.049086224338682
Hindi	8238226	manual_output_funchead_RANDOM	6.191385529706736
Persian	1804651	manual_output_funchead_RANDOM	7.222199569357381
Persian	1308028	manual_output_funchead_RANDOM	7.24865398123852
Norwegian	5688226	manual_output_funchead_RANDOM	7.086658977977821
Arabic	5432375	manual_output_funchead_RANDOM	7.103871055344894
Romanian	4865017	manual_output_funchead_RANDOM	7.658091228370445
Latin	222926	manual_output_funchead_RANDOM	7.885186260570249
Croatian	7402429	manual_output_funchead_RANDOM	8.225287649194373
