Language	Model	Type	Surp
Urdu	8194077103	manual_output_funchead_two_coarse_lambda09_best_large	6.1371431126964
Indonesian	5382881867	manual_output_funchead_two_coarse_lambda09_best_large	7.929252219629306
Slovak	9639523416	manual_output_funchead_two_coarse_lambda09_best_large	9.38150097214039
Belarusian	7359258414	manual_output_funchead_two_coarse_lambda09_best_large	9.119300772115139
Ancient_Greek	2464717213	manual_output_funchead_two_coarse_lambda09_best_large	7.308586413631575
Gothic	1202122097	manual_output_funchead_two_coarse_lambda09_best_large	6.938551675150875
Chinese	6026513642	manual_output_funchead_two_coarse_lambda09_best_large	7.936552636222734
Latvian	8260671049	manual_output_funchead_two_coarse_lambda09_best_large	8.882149711554117
Portuguese	5008733344	manual_output_funchead_two_coarse_lambda09_best_large	6.103685133142621
Hebrew	5764264925	manual_output_funchead_two_coarse_lambda09_best_large	6.761799933886287
Urdu	5145751057	manual_output_funchead_two_coarse_lambda09_best_large	6.109188897229603
Hungarian	5672293328	manual_output_funchead_two_coarse_lambda09_best_large	8.623370125755049
Estonian	9895311798	manual_output_funchead_two_coarse_lambda09_best_large	8.621112866590563
Ukrainian	6991982342	manual_output_funchead_two_coarse_lambda09_best_large	9.189456714834064
Persian	3412580769	manual_output_funchead_two_coarse_lambda09_best_large	7.015805129219938
Japanese	3088536385	manual_output_funchead_two_coarse_lambda09_best_large	6.435192171867232
Afrikaans	2336973232	manual_output_funchead_two_coarse_lambda09_best_large	6.641685390593488
Croatian	3321068676	manual_output_funchead_two_coarse_lambda09_best_large	7.939633148242958
Slovak	8768895670	manual_output_funchead_two_coarse_lambda09_best_large	9.399578628790888
Greek	443087336	manual_output_funchead_two_coarse_lambda09_best_large	7.265074181312379
Romanian	576616091	manual_output_funchead_two_coarse_lambda09_best_large	7.396502699845882
Tamil	8711707313	manual_output_funchead_two_coarse_lambda09_best_large	9.2480652899563
Romanian	3635844330	manual_output_funchead_two_coarse_lambda09_best_large	7.38142660861156
Turkish	5509643988	manual_output_funchead_two_coarse_lambda09_best_large	9.14611863656584
Old_Church_Slavonic	9893792743	manual_output_funchead_two_coarse_lambda09_best_large	6.915523005336849
French	1804798267	manual_output_funchead_two_coarse_lambda09_best_large	5.75844596214501
Bulgarian	9342297711	manual_output_funchead_two_coarse_lambda09_best_large	7.658326181512657
Telugu	4692482080	manual_output_funchead_two_coarse_lambda09_best_large	7.982516968366012
Spanish	5956794139	manual_output_funchead_two_coarse_lambda09_best_large	6.080200187804156
Italian	2705796116	manual_output_funchead_two_coarse_lambda09_best_large	6.58379734602823
Slovak	7223255144	manual_output_funchead_two_coarse_lambda09_best_large	9.396730278825022
Marathi	3114572312	manual_output_funchead_two_coarse_lambda09_best_large	7.324357487211292
Estonian	1640027993	manual_output_funchead_two_coarse_lambda09_best_large	8.638405318884557
Old_Church_Slavonic	1093263131	manual_output_funchead_two_coarse_lambda09_best_large	6.902692676264816
Catalan	7673093064	manual_output_funchead_two_coarse_lambda09_best_large	5.901969934399192
Old_Church_Slavonic	5087985668	manual_output_funchead_two_coarse_lambda09_best_large	6.90254900140627
Czech	6641886353	manual_output_funchead_two_coarse_lambda09_best_large	6.8840455845085735
Spanish	6766058353	manual_output_funchead_two_coarse_lambda09_best_large	6.01052519055121
Galician	6804679991	manual_output_funchead_two_coarse_lambda09_best_large	6.387716420618969
Russian	2131524026	manual_output_funchead_two_coarse_lambda09_best_large	7.243651202594749
Tamil	5111385924	manual_output_funchead_two_coarse_lambda09_best_large	9.16166139544656
Afrikaans	5770375398	manual_output_funchead_two_coarse_lambda09_best_large	6.620665998096707
Gothic	5759701124	manual_output_funchead_two_coarse_lambda09_best_large	6.900726530355521
Hungarian	8148810023	manual_output_funchead_two_coarse_lambda09_best_large	8.65100881790595
Irish	8839370098	manual_output_funchead_two_coarse_lambda09_best_large	8.298643047323914
Estonian	8287909227	manual_output_funchead_two_coarse_lambda09_best_large	8.620011551741682
Irish	6195122992	manual_output_funchead_two_coarse_lambda09_best_large	8.094300676635832
Hebrew	6251060391	manual_output_funchead_two_coarse_lambda09_best_large	6.7693676920068135
Croatian	6790831544	manual_output_funchead_two_coarse_lambda09_best_large	7.936158760146971
Greek	7650272780	manual_output_funchead_two_coarse_lambda09_best_large	7.251419753692269
Portuguese	6325801317	manual_output_funchead_two_coarse_lambda09_best_large	6.170338783870202
Swedish	7609961975	manual_output_funchead_two_coarse_lambda09_best_large	7.079377680948423
Croatian	663958888	manual_output_funchead_two_coarse_lambda09_best_large	8.067675348055564
Norwegian	7046681945	manual_output_funchead_two_coarse_lambda09_best_large	6.842681885738902
Persian	8924635208	manual_output_funchead_two_coarse_lambda09_best_large	7.0373809123183095
Korean	2944795873	manual_output_funchead_two_coarse_lambda09_best_large	7.872019548582632
Estonian	3317895290	manual_output_funchead_two_coarse_lambda09_best_large	8.560766479190796
Latvian	3902501904	manual_output_funchead_two_coarse_lambda09_best_large	8.91498817405097
Ukrainian	5562899522	manual_output_funchead_two_coarse_lambda09_best_large	9.172969211632957
Slovenian	3916390204	manual_output_funchead_two_coarse_lambda09_best_large	7.8039062415814735
Galician	7145686102	manual_output_funchead_two_coarse_lambda09_best_large	6.42816529525753
Serbian	6819748568	manual_output_funchead_two_coarse_lambda09_best_large	7.726104573252764
Latin	9019187249	manual_output_funchead_two_coarse_lambda09_best_large	7.5261319017352575
Swedish	4683723101	manual_output_funchead_two_coarse_lambda09_best_large	7.1856328596424115
Polish	7806666806	manual_output_funchead_two_coarse_lambda09_best_large	8.685777093242903
Portuguese	2092691919	manual_output_funchead_two_coarse_lambda09_best_large	6.127158804459393
Tamil	1257984541	manual_output_funchead_two_coarse_lambda09_best_large	9.217544018262615
Polish	7393754896	manual_output_funchead_two_coarse_lambda09_best_large	8.652445598193832
Bulgarian	4983112764	manual_output_funchead_two_coarse_lambda09_best_large	7.653001412916914
Danish	5824485390	manual_output_funchead_two_coarse_lambda09_best_large	7.331121776629794
Catalan	2181627944	manual_output_funchead_two_coarse_lambda09_best_large	5.872987228263648
Hebrew	643621124	manual_output_funchead_two_coarse_lambda09_best_large	6.7384170223249455
Turkish	4730921969	manual_output_funchead_two_coarse_lambda09_best_large	9.192846440491818
Galician	5469793482	manual_output_funchead_two_coarse_lambda09_best_large	6.577459073217928
Irish	999781918	manual_output_funchead_two_coarse_lambda09_best_large	8.04053855228779
Czech	4658048204	manual_output_funchead_two_coarse_lambda09_best_large	6.899470106523346
Hungarian	6648854911	manual_output_funchead_two_coarse_lambda09_best_large	8.614248112291712
Latin	4766918754	manual_output_funchead_two_coarse_lambda09_best_large	7.525084418058796
Norwegian	4677267510	manual_output_funchead_two_coarse_lambda09_best_large	6.871098390698031
Italian	5313212627	manual_output_funchead_two_coarse_lambda09_best_large	6.559952771425146
Serbian	2676221706	manual_output_funchead_two_coarse_lambda09_best_large	7.770020411363262
Basque	657083143	manual_output_funchead_two_coarse_lambda09_best_large	8.376426143386409
Persian	5690146700	manual_output_funchead_two_coarse_lambda09_best_large	7.009666639148863
Italian	1605203152	manual_output_funchead_two_coarse_lambda09_best_large	6.501016907714285
Persian	8410637578	manual_output_funchead_two_coarse_lambda09_best_large	10.02335943761716
Catalan	2538995201	manual_output_funchead_two_coarse_lambda09_best_large	5.8607395931489865
Swedish	6721563583	manual_output_funchead_two_coarse_lambda09_best_large	7.218519400294707
Hungarian	5786187046	manual_output_funchead_two_coarse_lambda09_best_large	8.673823415165481
Belarusian	8060678659	manual_output_funchead_two_coarse_lambda09_best_large	9.172562049800515
Korean	3602806999	manual_output_funchead_two_coarse_lambda09_best_large	7.918115510021758
German	7136971851	manual_output_funchead_two_coarse_lambda09_best_large	7.309177317579223
Croatian	7324385554	manual_output_funchead_two_coarse_lambda09_best_large	7.951084566525968
Hebrew	9622715829	manual_output_funchead_two_coarse_lambda09_best_large	6.763693525588778
Slovenian	3369697079	manual_output_funchead_two_coarse_lambda09_best_large	7.723839177424086
Slovak	9852185484	manual_output_funchead_two_coarse_lambda09_best_large	9.435057241852824
Serbian	8779005273	manual_output_funchead_two_coarse_lambda09_best_large	7.74763859798849
Basque	6607162747	manual_output_funchead_two_coarse_lambda09_best_large	8.390879402752756
Greek	9998851151	manual_output_funchead_two_coarse_lambda09_best_large	7.337026282669245
Ukrainian	7044768915	manual_output_funchead_two_coarse_lambda09_best_large	9.172441107303328
Vietnamese	9864186953	manual_output_funchead_two_coarse_lambda09_best_large	7.737306023204857
Bulgarian	4422284109	manual_output_funchead_two_coarse_lambda09_best_large	7.692721384856614
Vietnamese	3402348407	manual_output_funchead_two_coarse_lambda09_best_large	7.74260759571195
Dutch	5427721463	manual_output_funchead_two_coarse_lambda09_best_large	6.953422766918267
Vietnamese	1171173532	manual_output_funchead_two_coarse_lambda09_best_large	7.767352663357505
Arabic	1441855073	manual_output_funchead_two_coarse_lambda09_best_large	6.807264307654267
Urdu	6465959954	manual_output_funchead_two_coarse_lambda09_best_large	6.016279146437011
Finnish	7780466564	manual_output_funchead_two_coarse_lambda09_best_large	8.116600574357895
Croatian	3798552277	manual_output_funchead_two_coarse_lambda09_best_large	8.062232440954096
Estonian	6460036660	manual_output_funchead_two_coarse_lambda09_best_large	8.611312458343983
Danish	9180537518	manual_output_funchead_two_coarse_lambda09_best_large	7.336544630494188
Marathi	9038243873	manual_output_funchead_two_coarse_lambda09_best_large	7.320266704622693
Ancient_Greek	6847276818	manual_output_funchead_two_coarse_lambda09_best_large	7.4033998938004615
Arabic	5867584802	manual_output_funchead_two_coarse_lambda09_best_large	6.827307841187474
Greek	5370391157	manual_output_funchead_two_coarse_lambda09_best_large	7.2738161356354665
Belarusian	7691383669	manual_output_funchead_two_coarse_lambda09_best_large	9.054466953620812
Japanese	1283183948	manual_output_funchead_two_coarse_lambda09_best_large	6.36060383550612
Serbian	3817427565	manual_output_funchead_two_coarse_lambda09_best_large	7.79595339127383
Japanese	1009595739	manual_output_funchead_two_coarse_lambda09_best_large	6.336563219080536
Lithuanian	257509430	manual_output_funchead_two_coarse_lambda09_best_large	9.286459634018914
French	1842524198	manual_output_funchead_two_coarse_lambda09_best_large	5.770587209305039
Gothic	5335219129	manual_output_funchead_two_coarse_lambda09_best_large	6.966468200228784
Romanian	124175633	manual_output_funchead_two_coarse_lambda09_best_large	7.429906082719949
English	5695541364	manual_output_funchead_two_coarse_lambda09_best_large	6.611380920143438
Turkish	8813750349	manual_output_funchead_two_coarse_lambda09_best_large	9.14255367133885
Serbian	4800985670	manual_output_funchead_two_coarse_lambda09_best_large	7.751230963630116
Slovenian	25393398	manual_output_funchead_two_coarse_lambda09_best_large	7.785975016462232
Polish	905619302	manual_output_funchead_two_coarse_lambda09_best_large	8.70218393045785
Latvian	9342502206	manual_output_funchead_two_coarse_lambda09_best_large	8.951200199207316
Galician	2670938162	manual_output_funchead_two_coarse_lambda09_best_large	6.417636072284448
Swedish	5977698508	manual_output_funchead_two_coarse_lambda09_best_large	7.083808468975346
Serbian	9948301601	manual_output_funchead_two_coarse_lambda09_best_large	7.794630216354225
Arabic	7835557024	manual_output_funchead_two_coarse_lambda09_best_large	nan
Tamil	1261619753	manual_output_funchead_two_coarse_lambda09_best_large	9.168665401410971
Japanese	8173520601	manual_output_funchead_two_coarse_lambda09_best_large	6.323383397996397
Afrikaans	5621493157	manual_output_funchead_two_coarse_lambda09_best_large	6.653198044358354
Latvian	5246179795	manual_output_funchead_two_coarse_lambda09_best_large	8.858954367459503
Korean	7169100329	manual_output_funchead_two_coarse_lambda09_best_large	7.866304764963503
Slovak	7284773621	manual_output_funchead_two_coarse_lambda09_best_large	9.381727532054853
Ancient_Greek	2824182837	manual_output_funchead_two_coarse_lambda09_best_large	7.3102938491141725
Norwegian	2598680483	manual_output_funchead_two_coarse_lambda09_best_large	6.829031118021957
Ancient_Greek	542477161	manual_output_funchead_two_coarse_lambda09_best_large	7.370290129102342
Romanian	3026380184	manual_output_funchead_two_coarse_lambda09_best_large	7.439037638552522
English	4910096554	manual_output_funchead_two_coarse_lambda09_best_large	6.601815793291545
English	2608680131	manual_output_funchead_two_coarse_lambda09_best_large	6.625697613570323
Belarusian	926360780	manual_output_funchead_two_coarse_lambda09_best_large	9.126727324017024
Belarusian	5477271494	manual_output_funchead_two_coarse_lambda09_best_large	9.463828613636423
Italian	911553149	manual_output_funchead_two_coarse_lambda09_best_large	6.494120749324979
Afrikaans	2244052059	manual_output_funchead_two_coarse_lambda09_best_large	6.637841026173551
Finnish	8278855198	manual_output_funchead_two_coarse_lambda09_best_large	8.031933730283937
Croatian	3099887828	manual_output_funchead_two_coarse_lambda09_best_large	8.008236766461202
Slovenian	1131642226	manual_output_funchead_two_coarse_lambda09_best_large	7.778823492842963
Lithuanian	1187756157	manual_output_funchead_two_coarse_lambda09_best_large	9.257642731630712
Dutch	5266995269	manual_output_funchead_two_coarse_lambda09_best_large	6.9636955911337886
Swedish	513851515	manual_output_funchead_two_coarse_lambda09_best_large	7.191445532315657
Spanish	1083174828	manual_output_funchead_two_coarse_lambda09_best_large	6.078478643738457
German	136153380	manual_output_funchead_two_coarse_lambda09_best_large	7.23006808567704
Finnish	5335149485	manual_output_funchead_two_coarse_lambda09_best_large	8.133259440673246
Ancient_Greek	2121072826	manual_output_funchead_two_coarse_lambda09_best_large	7.318242288529006
Chinese	852200053	manual_output_funchead_two_coarse_lambda09_best_large	7.9738569412021265
Catalan	5306277338	manual_output_funchead_two_coarse_lambda09_best_large	5.845256760887824
Turkish	8151228474	manual_output_funchead_two_coarse_lambda09_best_large	9.12080272775341
Hindi	9408810693	manual_output_funchead_two_coarse_lambda09_best_large	5.796509835354302
Catalan	1962043850	manual_output_funchead_two_coarse_lambda09_best_large	5.907196672103936
Swedish	5945751659	manual_output_funchead_two_coarse_lambda09_best_large	7.172561940564358
Danish	7575930030	manual_output_funchead_two_coarse_lambda09_best_large	7.313734185486132
Latin	8298287341	manual_output_funchead_two_coarse_lambda09_best_large	7.636851869713512
Norwegian	6706419946	manual_output_funchead_two_coarse_lambda09_best_large	6.904951476784583
Finnish	2319061700	manual_output_funchead_two_coarse_lambda09_best_large	8.0761050606775
Hebrew	5904258105	manual_output_funchead_two_coarse_lambda09_best_large	7.072813304535278
Danish	5500305980	manual_output_funchead_two_coarse_lambda09_best_large	7.2562979959560145
German	3150957569	manual_output_funchead_two_coarse_lambda09_best_large	7.262488104606587
German	3150957569	manual_output_funchead_two_coarse_lambda09_best_large	7.210032199350658
Indonesian	3375856929	manual_output_funchead_two_coarse_lambda09_best_large	7.952861230144134
Finnish	8684997966	manual_output_funchead_two_coarse_lambda09_best_large	8.091888407677342
Ancient_Greek	7121520514	manual_output_funchead_two_coarse_lambda09_best_large	7.4076428844879825
Bulgarian	6688858397	manual_output_funchead_two_coarse_lambda09_best_large	7.625141704329868
Galician	9888894181	manual_output_funchead_two_coarse_lambda09_best_large	6.416376263851592
Marathi	5658968522	manual_output_funchead_two_coarse_lambda09_best_large	7.279946028780775
Galician	845646266	manual_output_funchead_two_coarse_lambda09_best_large	6.409783064364955
Basque	1933414271	manual_output_funchead_two_coarse_lambda09_best_large	8.394023637989367
Spanish	3508122133	manual_output_funchead_two_coarse_lambda09_best_large	6.062468209500274
Persian	6820022821	manual_output_funchead_two_coarse_lambda09_best_large	7.070562933917088
Tamil	4192998455	manual_output_funchead_two_coarse_lambda09_best_large	9.155116197248264
Spanish	1470278488	manual_output_funchead_two_coarse_lambda09_best_large	6.089389101259683
Latin	9577508682	manual_output_funchead_two_coarse_lambda09_best_large	7.609109389316459
Greek	6619864691	manual_output_funchead_two_coarse_lambda09_best_large	7.264779522392944
Hindi	4611313920	manual_output_funchead_two_coarse_lambda09_best_large	5.73256109074929
Telugu	3545160889	manual_output_funchead_two_coarse_lambda09_best_large	8.020279301434929
Polish	6951943963	manual_output_funchead_two_coarse_lambda09_best_large	8.703473791597094
Ukrainian	4301405722	manual_output_funchead_two_coarse_lambda09_best_large	9.223382909360797
Ukrainian	6204132549	manual_output_funchead_two_coarse_lambda09_best_large	9.182812582420427
French	6320535347	manual_output_funchead_two_coarse_lambda09_best_large	5.754728812809177
Portuguese	5245130517	manual_output_funchead_two_coarse_lambda09_best_large	6.137032060236231
Russian	751101750	manual_output_funchead_two_coarse_lambda09_best_large	7.269674335786285
Ukrainian	9861169709	manual_output_funchead_two_coarse_lambda09_best_large	9.24695823638373
Belarusian	2064241235	manual_output_funchead_two_coarse_lambda09_best_large	9.120390536963479
Greek	9770309800	manual_output_funchead_two_coarse_lambda09_best_large	7.322992294277076
Basque	7825666655	manual_output_funchead_two_coarse_lambda09_best_large	8.365529501082722
Hungarian	2692870494	manual_output_funchead_two_coarse_lambda09_best_large	8.64846257635122
Slovenian	6127724000	manual_output_funchead_two_coarse_lambda09_best_large	7.780383245996079
Hindi	2868111645	manual_output_funchead_two_coarse_lambda09_best_large	5.715162423907042
English	9632101529	manual_output_funchead_two_coarse_lambda09_best_large	6.52892042914948
Hebrew	6281657213	manual_output_funchead_two_coarse_lambda09_best_large	6.767359769014087
