Language	Model	Type	UAS	Pars	LAS	ParsU
Belarusian	7359258414	manual_output_funchead_two_coarse_lambda09_best_large	0.65306122449	2.215064894647763	0.586342229199	1.40999513518305
Ancient_Greek	2464717213	manual_output_funchead_two_coarse_lambda09_best_large	0.852309071888	0.8116352904495004	0.786758332088	0.5008631820589896
Portuguese	5008733344	manual_output_funchead_two_coarse_lambda09_best_large	0.911203830003	0.4345606566567474	0.88392307898	0.30805618386935746
Hebrew	5764264925	manual_output_funchead_two_coarse_lambda09_best_large	0.872285572633	0.6999168721058608	0.826177491324	0.4612186796900419
Croatian	3321068676	manual_output_funchead_two_coarse_lambda09_best_large	0.833913783763	0.8097853894924179	0.793746614039	0.5840279297437122
Slovak	8768895670	manual_output_funchead_two_coarse_lambda09_best_large	0.847909816815	0.7854911271816915	0.816063879756	0.5590538088454502
Romanian	576616091	manual_output_funchead_two_coarse_lambda09_best_large	0.852951073424	0.7740478460268374	0.808466249411	0.5236599406112018
Tamil	8711707313	manual_output_funchead_two_coarse_lambda09_best_large	0.657423971377	2.0009350094257825	0.574239713775	1.3741029323960032
French	1804798267	manual_output_funchead_two_coarse_lambda09_best_large	0.915694387336	0.4216537336350915	0.888594777961	0.28823352690123055
Marathi	3114572312	manual_output_funchead_two_coarse_lambda09_best_large	0.690058479532	2.0351484421400996	0.558479532164	1.1441611121272484
Estonian	1640027993	manual_output_funchead_two_coarse_lambda09_best_large	0.822941784361	0.8265677050863072	0.76541508784	0.557874266329829
Spanish	6766058353	manual_output_funchead_two_coarse_lambda09_best_large	0.905506140395	0.47067186412573625	0.877343710517	0.3293434948178322
Irish	6195122992	manual_output_funchead_two_coarse_lambda09_best_large	0.46686210868	2.93020343700637	0.400691027118	2.09740858536817
Swedish	7609961975	manual_output_funchead_two_coarse_lambda09_best_large	0.849425433575	0.7802752659773041	0.805029046347	0.5331251368957162
Norwegian	7046681945	manual_output_funchead_two_coarse_lambda09_best_large	0.910090896066	0.5214178915582685	0.884525382448	0.31461796863940794
Latvian	3902501904	manual_output_funchead_two_coarse_lambda09_best_large	0.727154893065	1.3821548035537499	0.663179335247	0.9569675798449689
Hebrew	643621124	manual_output_funchead_two_coarse_lambda09_best_large	0.862865642043	0.7731537855552102	0.804164600892	0.49392972744273617
Basque	657083143	manual_output_funchead_two_coarse_lambda09_best_large	0.807210188528	0.9830807927701543	0.740874448456	0.6521982411352257
Hungarian	5786187046	manual_output_funchead_two_coarse_lambda09_best_large	0.727372957803	1.3292063497476616	0.675353312619	0.9938046445681191
Serbian	8779005273	manual_output_funchead_two_coarse_lambda09_best_large	0.852351274788	0.7814081593883612	0.812917847025	0.5551845228773339
Vietnamese	9864186953	manual_output_funchead_two_coarse_lambda09_best_large	0.70242319781	1.4793348600278697	0.632566156342	0.9903504138639245
Vietnamese	1171173532	manual_output_funchead_two_coarse_lambda09_best_large	0.747034370881	1.3464697085613293	0.677481496502	0.8753327173453297
Urdu	6465959954	manual_output_funchead_two_coarse_lambda09_best_large	0.88245892188	0.6412586166866233	0.842029403286	0.4434119615286082
Lithuanian	257509430	manual_output_funchead_two_coarse_lambda09_best_large	0.454133635334	3.138392235657637	0.390713476784	2.2929210673642184
Slovenian	25393398	manual_output_funchead_two_coarse_lambda09_best_large	0.814261413268	0.8796667744689062	0.783320307112	0.6405384794050927
Korean	7169100329	manual_output_funchead_two_coarse_lambda09_best_large	0.730888807608	1.2645599938469438	0.629663496708	0.8271098267745751
Slovak	7284773621	manual_output_funchead_two_coarse_lambda09_best_large	0.829497416628	0.8061027472514174	0.796712071395	0.5943007809251281
Ancient_Greek	542477161	manual_output_funchead_two_coarse_lambda09_best_large	0.820146465401	0.860917944251431	0.781079061426	0.6298614258991373
English	4910096554	manual_output_funchead_two_coarse_lambda09_best_large	0.890987710514	0.6185901097880596	0.845723967026	0.3790716261443314
Slovenian	1131642226	manual_output_funchead_two_coarse_lambda09_best_large	0.842214151074	0.7943524346807174	0.812698266746	0.5546388920216905
Dutch	5266995269	manual_output_funchead_two_coarse_lambda09_best_large	0.885146443515	0.5840305395954324	0.856171548117	0.4110853756551931
Catalan	5306277338	manual_output_funchead_two_coarse_lambda09_best_large	0.907488813879	0.4471116508557177	0.885626815292	0.34057491964289416
Turkish	8151228474	manual_output_funchead_two_coarse_lambda09_best_large	0.683084820337	1.7510748628706316	0.55157663163	1.0604089660534968
Swedish	5945751659	manual_output_funchead_two_coarse_lambda09_best_large	0.829623033541	0.8077164488237474	0.79629394055	0.5985484136271577
Latin	8298287341	manual_output_funchead_two_coarse_lambda09_best_large	0.821413017989	1.0087799152396744	0.75917054705	0.6259517678383515
Danish	5500305980	manual_output_funchead_two_coarse_lambda09_best_large	0.850776276109	0.6847457353141765	0.816709482855	0.4908453470020471
German	3150957569	manual_output_funchead_two_coarse_lambda09_best_large	0.892141325627	0.5234717736070171	0.866598303347	0.3652277629240101
Indonesian	3375856929	manual_output_funchead_two_coarse_lambda09_best_large	0.819539689995	0.9867092189345353	0.768623767027	0.6494190686294427
Bulgarian	6688858397	manual_output_funchead_two_coarse_lambda09_best_large	0.903766900441	0.45357180895787086	0.866097896031	0.30656421388809924
Galician	845646266	manual_output_funchead_two_coarse_lambda09_best_large	0.811180362977	1.025057972474165	0.759561791274	0.6824296328450692
Spanish	3508122133	manual_output_funchead_two_coarse_lambda09_best_large	0.896927275484	0.5002854576976075	0.870596856522	0.3638594558144984
Tamil	4192998455	manual_output_funchead_two_coarse_lambda09_best_large	0.591234347048	2.215123714829174	0.525044722719	1.627628160503981
Polish	6951943963	manual_output_funchead_two_coarse_lambda09_best_large	0.860383944154	0.5686333778086202	0.839441535777	0.44888048165062266
Ukrainian	6204132549	manual_output_funchead_two_coarse_lambda09_best_large	0.811784351145	0.9415542459158042	0.76705629771	0.6476025918910977
Portuguese	5245130517	manual_output_funchead_two_coarse_lambda09_best_large	0.906362833989	0.45578415443280684	0.880472866351	0.32690173479352
Greek	9770309800	manual_output_funchead_two_coarse_lambda09_best_large	0.837196937473	0.7906757717891126	0.814653339005	0.6135179207255008
Hindi	2868111645	manual_output_funchead_two_coarse_lambda09_best_large	0.931644490455	0.35233990831776274	0.905459306397	0.2457127603496235
Italian	3185031035	manual_output_funchead_two_coarse_lambda09_best_large	0.899159216688	0.5390005271268073	0.867709663687	0.3632625912626584
Afrikaans	2869394950	manual_output_funchead_two_coarse_lambda09_best_large	0.856697171381	0.7843773818749953	0.827787021631	0.5902970386622551
Dutch	6955889391	manual_output_funchead_two_coarse_lambda09_best_large	0.883943514644	0.5865191118160427	0.854968619247	0.4202604222668639
Old_Church_Slavonic	3901401544	manual_output_funchead_two_coarse_lambda09_best_large	0.852079207921	0.8054226980114927	0.786732673267	0.5009082246652924
Polish	5790044463	manual_output_funchead_two_coarse_lambda09_best_large	0.882373472949	0.520229498961417	0.858755090169	0.3899198107833152
Basque	6601537573	manual_output_funchead_two_coarse_lambda09_best_large	0.829322101885	0.9324361165986212	0.762033694344	0.5812171269290379
Ukrainian	7364747851	manual_output_funchead_two_coarse_lambda09_best_large	0.784351145038	1.0309007538638952	0.74856870229	0.773116622546702
Finnish	3529350779	manual_output_funchead_two_coarse_lambda09_best_large	0.837498288375	0.7792853579021032	0.777728330823	0.5171694049024302
Latin	1542884737	manual_output_funchead_two_coarse_lambda09_best_large	0.847107299588	0.9717897354532161	0.751063615959	0.5214477060911488
Old_Church_Slavonic	4613178219	manual_output_funchead_two_coarse_lambda09_best_large	0.848118811881	0.8537852580240457	0.784158415842	0.544024303797448
Catalan	7875549067	manual_output_funchead_two_coarse_lambda09_best_large	0.898559541565	0.4476732298221803	0.879876756417	0.3516998018007028
Irish	4619624644	manual_output_funchead_two_coarse_lambda09_best_large	0.558580253377	2.8174162165630103	0.455659093289	1.8988738633140745
Arabic	6427878818	manual_output_funchead_two_coarse_lambda09_best_large	0.864963777033	0.683118024860943	0.824278483451	0.48144127628220507
Russian	5457228368	manual_output_funchead_two_coarse_lambda09_best_large	0.868102990285	0.6653494700114002	0.826493245294	0.44381669671315715
Indonesian	4418369424	manual_output_funchead_two_coarse_lambda09_best_large	0.819445749178	0.9723788201388981	0.7695631752	0.6336415362503676
Gothic	4762537530	manual_output_funchead_two_coarse_lambda09_best_large	0.835277832707	0.9291128329615925	0.773185683211	0.6031664344947141
Czech	2331880029	manual_output_funchead_two_coarse_lambda09_best_large	0.896820302135	0.4539251867099953	0.876712580012	0.32805250115241535
Serbian	7392364811	manual_output_funchead_two_coarse_lambda09_best_large	0.857450424929	0.8078906734536795	0.813597733711	0.5550895569479837
Telugu	3951998013	manual_output_funchead_two_coarse_lambda09_best_large	0.830443159923	1.17828813315816	0.714836223507	0.5567927107875288
Coptic	2061526880	manual_output_funchead_two_coarse_lambda09_best_large	0.834672789897	0.9086579384130397	0.807118254879	0.6907207656536256
Czech	9341244952	manual_output_funchead_two_coarse_lambda09_best_large	0.905153176947	0.4330936641067483	0.884000024455	0.3016401600922777
Estonian	453495948	manual_output_funchead_two_coarse_lambda09_best_large	0.835687220117	0.8275381278904096	0.769319095189	0.5334019536799028
Afrikaans	1658885477	manual_output_funchead_two_coarse_lambda09_best_large	0.866056572379	0.7126983203824467	0.832570715474	0.529938149323281
Telugu	6994226783	manual_output_funchead_two_coarse_lambda09_best_large	0.849710982659	1.1083648062395453	0.732177263969	0.5794863471176354
Romanian	4119230459	manual_output_funchead_two_coarse_lambda09_best_large	0.857998519416	0.796868499383221	0.807995154452	0.5127565682564139
Marathi	5529731670	manual_output_funchead_two_coarse_lambda09_best_large	0.687134502924	1.9764431317647297	0.561403508772	1.0893599917316994
