Language	Model	Type	Surp	FullSurp
Dutch	3902085028	manual_output_funchead_two_coarse_lambda09_best_large	6.759026676723508	9.23869018935756
Urdu	8194077103	manual_output_funchead_two_coarse_lambda09_best_large	5.924482249151379	7.565405244301667
Japanese	3429225363	manual_output_funchead_two_coarse_lambda09_best_large	6.269245112135305	6.269260614030436
Indonesian	5382881867	manual_output_funchead_two_coarse_lambda09_best_large	7.818333107061149	7.818355820902442
Slovak	9639523416	manual_output_funchead_two_coarse_lambda09_best_large	8.890761329468118	13.117004196898037
Belarusian	7359258414	manual_output_funchead_two_coarse_lambda09_best_large	8.887207306270582	11.21451902510859
Russian	5725392105	manual_output_funchead_two_coarse_lambda09_best_large	7.288236066037404	7.486590605676856
Ancient_Greek	2464717213	manual_output_funchead_two_coarse_lambda09_best_large	7.2172538928848375	10.269461604645498
Hindi	2187989692	manual_output_funchead_two_coarse_lambda09_best_large	5.755286229049052	7.263851751833555
Gothic	1202122097	manual_output_funchead_two_coarse_lambda09_best_large	6.753702563926822	8.682673490100752
Chinese	6026513642	manual_output_funchead_two_coarse_lambda09_best_large	7.704169508598615	9.612657390766126
Hebrew	7994146565	manual_output_funchead_two_coarse_lambda09_best_large	6.598044714292558	8.188583506295288
Latvian	8260671049	manual_output_funchead_two_coarse_lambda09_best_large	8.580911283677349	13.419816486687012
Catalan	8956671908	manual_output_funchead_two_coarse_lambda09_best_large	5.90244549988011	7.442247583074308
Greek	9363886521	manual_output_funchead_two_coarse_lambda09_best_large	7.001048876301237	8.737282894249402
Spanish	9567779505	manual_output_funchead_two_coarse_lambda09_best_large	6.18336227661083	7.139605032538695
Portuguese	5008733344	manual_output_funchead_two_coarse_lambda09_best_large	6.0552268149799255	8.064679198586589
Basque	9724974740	manual_output_funchead_two_coarse_lambda09_best_large	8.241818697134253	8.241835070641274
Estonian	6005170877	manual_output_funchead_two_coarse_lambda09_best_large	8.36644476868677	10.001208569101363
Hebrew	5764264925	manual_output_funchead_two_coarse_lambda09_best_large	6.5754434955909895	8.267458525549296
Ukrainian	3955057044	manual_output_funchead_two_coarse_lambda09_best_large	8.847017801450656	12.815415060314564
Galician	5988943500	manual_output_funchead_two_coarse_lambda09_best_large	6.632720312599963	10.458672636695155
Hindi	5884876022	manual_output_funchead_two_coarse_lambda09_best_large	5.745744845971248	7.383582382253465
Urdu	5145751057	manual_output_funchead_two_coarse_lambda09_best_large	5.9715434188175704	7.532264865765261
German	8723024291	manual_output_funchead_two_coarse_lambda09_best_large	7.110021907159161	9.178200875814484
Hungarian	5672293328	manual_output_funchead_two_coarse_lambda09_best_large	8.5848805528745	8.584926971476945
German	4702663606	manual_output_funchead_two_coarse_lambda09_best_large	7.096279496647982	9.146977322291384
Galician	7889150172	manual_output_funchead_two_coarse_lambda09_best_large	6.131917417515823	8.837605320449285
Estonian	9895311798	manual_output_funchead_two_coarse_lambda09_best_large	8.361910288406893	10.022420110873306
Telugu	6282735639	manual_output_funchead_two_coarse_lambda09_best_large	7.866742252150633	9.495738350445805
Japanese	6615716453	manual_output_funchead_two_coarse_lambda09_best_large	6.325040566656171	6.325059776093184
Ukrainian	6991982342	manual_output_funchead_two_coarse_lambda09_best_large	8.850660865841798	12.760025827981517
Persian	3412580769	manual_output_funchead_two_coarse_lambda09_best_large	6.8461819341287065	8.653665210595971
Japanese	3088536385	manual_output_funchead_two_coarse_lambda09_best_large	6.218904532445509	6.218918248231603
Telugu	4887700711	manual_output_funchead_two_coarse_lambda09_best_large	8.130548416182052	9.708044491997061
Serbian	491512484	manual_output_funchead_two_coarse_lambda09_best_large	7.674130779676403	7.674156824820657
Swedish	8348397690	manual_output_funchead_two_coarse_lambda09_best_large	6.8818587644008735	9.61774165035967
Polish	2653238796	manual_output_funchead_two_coarse_lambda09_best_large	8.127860256965528	11.780840898005003
Latvian	4460902927	manual_output_funchead_two_coarse_lambda09_best_large	8.546109060973764	13.440376510040782
