Language	Model	Type	UAS	Pars
Russian	4401247	manual_output_funchead_RANDOM5	0.692063221008	1.2562695297140585
German	7109961	manual_output_funchead_RANDOM5	0.840402722103	0.728226951227513
Arabic	9345509	manual_output_funchead_RANDOM5	0.654249911717	1.3342784589965377
Slovenian	6900520	manual_output_funchead_RANDOM5	0.745988690175	1.1131664200309423
Slovak	9374200	manual_output_funchead_RANDOM5	0.792672616252	0.8804398255932774
Czech	770129	manual_output_funchead_RANDOM5	0.7918493113	0.8196354628965552
Spanish	8151627	manual_output_funchead_RANDOM5	0.827765704756	0.7619290638289727
Indonesian	9072449	manual_output_funchead_RANDOM5	0.722874589009	1.300402663223281
Irish	620085	manual_output_funchead_RANDOM5	0.471704394141	2.8366898764412616
Polish	4919978	manual_output_funchead_RANDOM5	0.817568353694	0.6855521551462853
Greek	5977846	manual_output_funchead_RANDOM5	0.802530837941	0.9062848978223115
Chinese	38506	manual_output_funchead_RANDOM5	0.596510560147	1.6433768904679844
Ancient_Greek	7307328	manual_output_funchead_RANDOM5	0.756747870274	1.1199119882971302
Russian	162613	manual_output_funchead_RANDOM5	0.740133576199	1.1252792811996073
Ukrainian	8551786	manual_output_funchead_RANDOM5	0.720658396947	1.1767150649786677
Coptic	419994	manual_output_funchead_RANDOM5	0.753157290471	1.0658469227507248
Old_Church_Slavonic	9863680	manual_output_funchead_RANDOM5	0.768217821782	1.0875449514389037
English	9596253	manual_output_funchead_RANDOM5	0.79335457442	0.9139103197152545
Dutch	3173002	manual_output_funchead_RANDOM5	0.825313807531	0.7711715283534766
Afrikaans	1185089	manual_output_funchead_RANDOM5	0.763727121464	1.0516648517670528
Portuguese	9587377	manual_output_funchead_RANDOM5	0.823584476718	0.6916139655548718
Estonian	9807153	manual_output_funchead_RANDOM5	0.732001377885	1.1759349687157767
Hebrew	5639373	manual_output_funchead_RANDOM5	0.732672285573	1.1037696710599787
Chinese	2252744	manual_output_funchead_RANDOM5	0.607346189164	1.6603166328426673
Indonesian	6845258	manual_output_funchead_RANDOM5	0.67233442931	1.329216619913093
