"","Language","Type","Model","Pars"
"1","Afrikaans","manual_output_funchead_two_coarse_parser_final","478110",0.762882596360136
"2","Ancient_Greek","manual_output_funchead_two_coarse_parser_final","6022317",0.933737021098191
"3","Arabic","manual_output_funchead_two_coarse_parser_final","6135873",0.879343259491343
"4","Basque","manual_output_funchead_two_coarse_parser_final","5208974",1.11934109469087
"5","Belarusian","manual_output_funchead_two_coarse_parser_final","971651",1.68259701062596
"6","Bulgarian","manual_output_funchead_two_coarse_parser_final","6143343",0.479637384278924
"7","Catalan","manual_output_funchead_two_coarse_parser_final","2776972",0.570550889279762
"8","Chinese","manual_output_funchead_two_coarse_parser_final","9955753",1.2191832813678
"9","Coptic","manual_output_funchead_two_coarse_parser_final","8232098",0.946682964482619
"10","Croatian","manual_output_funchead_two_coarse_parser_final","1326278",0.810954514057973
"11","Czech","manual_output_funchead_two_coarse_parser_final","2118014",0.735716232597361
"12","Danish","manual_output_funchead_two_coarse_parser_final","9334592",0.754093750820311
"13","Dutch","manual_output_funchead_two_coarse_parser_final","4712524",0.656327133541576
"14","English","manual_output_funchead_two_coarse_parser_final","6313610",0.718297505119255
"15","Estonian","manual_output_funchead_two_coarse_parser_final","7338143",1.00003228014133
"16","Finnish","manual_output_funchead_two_coarse_parser_final","1444965",0.980054709587492
"17","French","manual_output_funchead_two_coarse_parser_final","8409941",0.53558125056933
"18","Galician","manual_output_funchead_two_coarse_parser_final","1863485",1.01935007023538
"19","German","manual_output_funchead_two_coarse_parser_final","2572163",0.580852990199571
"20","Gothic","manual_output_funchead_two_coarse_parser_final","1424985",1.04879809177886
"21","Greek","manual_output_funchead_two_coarse_parser_final","3709688",0.712791573368758
"22","Hebrew","manual_output_funchead_two_coarse_parser_final","1431328",0.822521304244976
"23","Hindi","manual_output_funchead_two_coarse_parser_final","728436",0.502544811439584
"24","Hungarian","manual_output_funchead_two_coarse_parser_final","8436814",1.20894734195374
"25","Indonesian","manual_output_funchead_two_coarse_parser_final","9119583",0.948453037645852
"26","Irish","manual_output_funchead_two_coarse_parser_final","6619866",2.44079046867394
"27","Italian","manual_output_funchead_two_coarse_parser_final","9958142",0.59949233827628
"28","Japanese","manual_output_funchead_two_coarse_parser_final","5947655",0.645583214775866
"29","Korean","manual_output_funchead_two_coarse_parser_final","1466612",1.64761128664831
"30","Latin","manual_output_funchead_two_coarse_parser_final","8722438",1.27410366580633
"31","Latvian","manual_output_funchead_two_coarse_parser_final","5325362",1.35851881670385
"32","Lithuanian","manual_output_funchead_two_coarse_parser_final","3636457",2.33690454951769
"33","Marathi","manual_output_funchead_two_coarse_parser_final","2292750",1.34244483813905
"34","Norwegian","manual_output_funchead_two_coarse_parser_final","6908166",0.624361386132177
"35","Old_Church_Slavonic","manual_output_funchead_two_coarse_parser_final","4322322",0.96292419373399
"36","Persian","manual_output_funchead_two_coarse_parser_final","4936520",0.699585270015096
"37","Polish","manual_output_funchead_two_coarse_parser_final","7708753",0.524783843516471
"38","Portuguese","manual_output_funchead_two_coarse_parser_final","6866443",0.573042899973589
"39","Romanian","manual_output_funchead_two_coarse_parser_final","4412561",0.948192763885328
"40","Russian","manual_output_funchead_two_coarse_parser_final","490687",0.916713790009596
"41","Serbian","manual_output_funchead_two_coarse_parser_final","3632245",0.881393941293019
"42","Slovak","manual_output_funchead_two_coarse_parser_final","9710036",0.679076572856527
"43","Slovenian","manual_output_funchead_two_coarse_parser_final","1215862",0.815876335677024
"44","Spanish","manual_output_funchead_two_coarse_parser_final","8738530",0.64811986381271
"45","Swedish","manual_output_funchead_two_coarse_parser_final","4749387",0.821961108800013
"46","Tamil","manual_output_funchead_two_coarse_parser_final","2281563",1.99420931812689
"47","Telugu","manual_output_funchead_two_coarse_parser_final","4415618",0.864965174239495
"48","Turkish","manual_output_funchead_two_coarse_parser_final","3846463",1.65225038756312
"49","Ukrainian","manual_output_funchead_two_coarse_parser_final","6463724",1.01440377675622
"50","Urdu","manual_output_funchead_two_coarse_parser_final","9656911",0.773113543764251
"51","Vietnamese","manual_output_funchead_two_coarse_parser_final","8601268",1.24356841216715
